"iIdParada","sDenominacion","iCoordenadaUTMX","iCoordenadaUTMY"
227,Mas Carpa 2,846535,4563734
228,Horticultura 2,846919,4562646
229,Sant Joan 1,845346,4565792
230,Sant Joan 2,845364,4565802
231,Villablanca 2,848607,4561415
232,Nuestra Señora del Mar 2,847211,4562360
233,Biblioteca Pere Anguera 1,845684,4563143
234,Biblioteca Pere Anguera 2,845640,4563307
235,Urbanització Mercader,845503,4563020
236,Vidal i Barraquer 1,844971,4563467
237,Fundació Rosa Maria Vivar 1,844286,4563019
238,Fundació Rosa Maria Vivar 2,844288,4563055
239,Aparcament Graja Vila 1,845804,4565268
240,Aparcament Graja Vila 2,845765,4565263
241,Aparcament Pi del Burgar,845537,4564855
998,Oques 1 Virtual,844338,4564506
999,parada de prova,846103,4565580
1102,Passeig de Prim 2,844462,4563843
1112,Passeig de Sunyer 1,844333,4564209
9999,Prov1,844983,4564777
